x yaw 
1.0 0.87879
1.0 0.91242
1.0 0.94606
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
0.98822 1.0
0.95081 1.0
0.91339 1.0
0.87598 1.0
0.83856 1.0
0.80115 1.0
0.7811 1.0
0.81095 1.0
0.84079 1.0
0.87064 1.0
0.90048 1.0
0.93032 1.0
0.96017 1.0
0.99001 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 1.0
1.0 0.94178
1.0 0.87229
1.0 0.80279
1.0 0.7333
1.0 0.59431
1.0 0.52482
1.0 0.45532
1.0 0.38583
1.0 0.31633
0.98012 0.24684
0.94682 0.17734
0.91351 0.10785
0.88021 0.03835
0.81361 -0.10064
0.78031 -0.17013
0.74701 -0.23962
0.7137 -0.30912
0.6804 -0.37861
0.636 -0.47127
0.6626 -0.47266
0.6892 -0.47404
0.71579 -0.47542
0.76899 -0.47819
0.79558 -0.47958
0.82218 -0.48096
0.84878 -0.48234
0.87538 -0.48373
0.90197 -0.48511
0.92857 -0.4865
0.95517 -0.48788
0.98176 -0.48926
1.0 -0.49203
1.0 -0.49341
1.0 -0.4948
1.0 -0.49618
1.0 -0.49757
1.0 -0.49895
1.0 -0.50033
1.0 -0.50172
1.0 -0.5031
1.0 -0.50587
1.0 -0.50725
1.0 -0.50864
1.0 -0.51002
1.0 -0.51141
1.0 -0.51279
1.0 -0.51417
1.0 -0.51556
1.0 -0.5174
1.0 -0.60636
1.0 -0.65084
1.0 -0.69531
1.0 -0.73979
1.0 -0.78427
1.0 -0.82875
1.0 -0.87323
1.0 -0.9177
1.0 -0.96218
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
1.0 -1.0
0.95366 -1.0
0.89126 -1.0
0.82886 -1.0
0.70405 -1.0
0.64165 -0.94809
0.57925 -0.89549
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
