x y yaw v w 
0.03 0.0004 0.02636 1.0 0.87879
0.06995 0.00218 0.06286 1.0 0.91242
0.09986 0.00449 0.09124 1.0 0.94606
0.1297 0.00766 0.12063 1.0 1.0
0.1693 0.01327 0.16063 1.0 1.0
0.19884 0.01851 0.19063 1.0 1.0
0.2282 0.02463 0.22063 1.0 1.0
0.26705 0.03417 0.26063 1.0 1.0
0.29591 0.04233 0.29063 1.0 1.0
0.32452 0.05136 0.32063 1.0 1.0
0.36222 0.06472 0.36063 1.0 1.0
0.39013 0.07572 0.39063 1.0 1.0
0.41769 0.08756 0.42063 1.0 1.0
0.45387 0.10462 0.46063 1.0 1.0
0.48054 0.11836 0.49063 1.0 1.0
0.50678 0.13289 0.52063 1.0 1.0
0.54108 0.15347 0.56063 1.0 1.0
0.56624 0.1698 0.59063 1.0 1.0
0.5909 0.18688 0.62063 1.0 1.0
0.62297 0.21079 0.66063 1.0 1.0
0.64638 0.22955 0.69063 1.0 1.0
0.66921 0.24901 0.72063 1.0 1.0
0.69873 0.27599 0.76063 1.0 1.0
0.72015 0.297 0.79063 1.0 1.0
0.74093 0.31864 0.82063 0.98822 1.0
0.7668 0.34752 0.86063 0.95081 1.0
0.7846 0.36885 0.89063 0.91339 1.0
0.80128 0.39011 0.92063 0.87598 1.0
0.82149 0.41781 0.96063 0.83856 1.0
0.83496 0.43771 0.99063 0.80115 1.0
0.84703 0.45674 1.02063 0.7811 1.0
0.86313 0.48422 1.06063 0.81095 1.0
0.87497 0.50615 1.09063 0.84079 1.0
0.88628 0.52869 1.12063 0.87064 1.0
0.90105 0.56089 1.16063 0.90048 1.0
0.91168 0.58637 1.19063 0.93032 1.0
0.92175 0.61272 1.22063 0.96017 1.0
0.93458 0.65018 1.26063 0.99001 1.0
0.94328 0.67878 1.29063 1.0 1.0
0.95114 0.70773 1.32063 1.0 1.0
0.96027 0.74668 1.36063 1.0 1.0
0.96608 0.77611 1.39063 1.0 1.0
0.97102 0.8057 1.42063 1.0 1.0
0.97621 0.84536 1.46063 1.0 1.0
0.97906 0.87522 1.49063 1.0 1.0
0.98101 0.90515 1.52063 1.0 1.0
0.98222 0.94513 1.56063 1.0 1.0
0.98207 0.97513 1.59063 1.0 1.0
0.98103 1.00511 1.62063 1.0 1.0
0.97824 1.04501 1.66063 1.0 1.0
0.9751 1.07485 1.69063 1.0 1.0
0.97106 1.10457 1.72063 1.0 1.0
0.96237 1.1538 1.77063 1.0 1.0
0.9582 1.17337 1.79063 1.0 1.0
0.95122 1.20254 1.82063 1.0 1.0
0.94056 1.24109 1.86063 1.0 1.0
0.93156 1.26971 1.89063 1.0 1.0
0.9217 1.29804 1.92063 1.0 1.0
0.90724 1.33533 1.96063 1.0 1.0
0.89542 1.36291 1.99063 1.0 1.0
0.88279 1.39011 2.02063 1.0 1.0
0.86468 1.42578 2.06063 1.0 1.0
0.85017 1.45203 2.09063 1.0 1.0
0.83488 1.47784 2.12063 1.0 1.0
0.8133 1.51152 2.16063 1.0 1.0
0.79624 1.5362 2.19063 1.0 1.0
0.77845 1.56035 2.22063 1.0 1.0
0.75362 1.59171 2.26063 1.0 1.0
0.73418 1.61456 2.29063 1.0 1.0
0.71407 1.63681 2.32063 1.0 1.0
0.68623 1.66553 2.36063 1.0 1.0
0.66462 1.68634 2.38947 1.0 0.94178
0.64244 1.70655 2.41564 1.0 0.80279
0.61211 1.73261 2.44775 1.0 0.7333
0.58884 1.75154 2.46975 1.0 0.7333
0.56517 1.76998 2.48966 1.0 0.59431
0.5331 1.79388 2.51205 1.0 0.52482
0.50872 1.81136 2.5264 1.0 0.45532
0.4841 1.82851 2.54006 1.0 0.38583
0.45096 1.8509 2.5541 1.0 0.31633
0.42625 1.86721 2.5622 0.98012 0.24684
0.40187 1.88304 2.56891 0.94682 0.17734
0.37111 1.90277 2.57323 0.91351 0.10785
0.34856 1.91714 2.57507 0.88021 0.03835
0.32713 1.93078 2.57414 0.81361 -0.10064
0.29972 1.94833 2.57011 0.78031 -0.17013
0.28006 1.96104 2.56501 0.74701 -0.23962
0.26132 1.97333 2.55782 0.7137 -0.30912
0.23816 1.98884 2.54407 0.6804 -0.37861
0.22208 1.99993 2.53085 0.636 -0.47127
0.20631 2.01114 2.5167 0.6626 -0.47266
0.18411 2.02747 2.49774 0.6892 -0.47404
0.16724 2.04033 2.48349 0.71579 -0.47542
0.14972 2.05407 2.46919 0.76899 -0.47819
0.12584 2.07346 2.45006 0.79558 -0.47958
0.10716 2.08916 2.43564 0.82218 -0.48096
0.0883 2.10547 2.4212 0.84878 -0.48234
0.06261 2.12847 2.40188 0.87538 -0.48373
0.04295 2.14667 2.38734 0.90197 -0.48511
0.02279 2.16589 2.37275 0.92857 -0.4865
-0.00441 2.19273 2.35323 0.95517 -0.48788
-0.02502 2.21377 2.33855 0.98176 -0.48926
-0.0457 2.2355 2.32383 1.0 -0.49203
-0.07276 2.26495 2.30415 1.0 -0.49341
-0.09268 2.28739 2.28932 1.0 -0.4948
-0.11226 2.31012 2.27448 1.0 -0.49618
-0.13783 2.34087 2.2546 1.0 -0.49757
-0.15661 2.36427 2.23965 1.0 -0.49895
-0.17504 2.38794 2.22464 1.0 -0.50033
-0.19904 2.41994 2.20457 1.0 -0.50172
-0.21663 2.44424 2.18949 1.0 -0.5031
