x y yaw v w 
0.02932 7e-05 0.00463 0.0 0.0
0.06352 0.00035 0.01215 1.13695 0.24971
0.09727 0.00093 0.02179 1.10321 0.31534
0.13092 0.00186 0.03337 0.81894 0.2817
0.1644 0.0032 0.04663 1.12453 0.44515
0.19771 0.005 0.06131 1.03964 0.45725
0.23085 0.00729 0.07716 0.80513 0.38432
0.26381 0.01012 0.09402 1.10559 0.56354
0.29659 0.01351 0.11174 1.08639 0.58404
0.3292 0.01747 0.13018 0.8167 0.45858
0.36159 0.02203 0.14926 1.09376 0.63779
0.39378 0.02719 0.16889 1.05769 0.63692
0.42576 0.03297 0.18901 0.80881 0.50075
0.45752 0.03939 0.20956 1.08351 0.68715
0.48906 0.04644 0.23049 1.03811 0.67232
0.52037 0.05414 0.25176 0.76602 0.50531
0.55144 0.06249 0.27332 1.07082 0.71789
0.58226 0.0715 0.29516 0.97341 0.66198
0.61283 0.08116 0.31723 0.7979 0.54943
0.64314 0.09149 0.33952 1.04905 0.73026
0.67317 0.10247 0.362 1.01046 0.71021
0.70292 0.11413 0.38464 0.75663 0.53636
0.73237 0.12644 0.40744 1.06216 0.7587
0.7615 0.13941 0.43037 1.03545 0.74464
0.79031 0.15304 0.45343 0.78738 0.56967
0.81843 0.16715 0.47659 1.04916 0.77246
0.84413 0.1808 0.4999 0.95612 0.76596
0.8687 0.1946 0.52339 0.6997 0.58326
0.892 0.20841 0.54708 0.90464 0.79128
0.91403 0.2222 0.57099 0.86504 0.79583
0.93452 0.23571 0.59515 0.58454 0.57553
0.95541 0.25023 0.61946 0.84528 0.8079
0.97661 0.26574 0.64389 0.85868 0.79865
0.99808 0.28227 0.66841 0.65849 0.59578
1.01978 0.29984 0.69299 0.93032 0.81883
1.04239 0.31909 0.71757 0.94727 0.78438
1.06509 0.3394 0.74213 0.75612 0.60985
1.08791 0.36085 0.76666 1.0176 0.79692
1.11037 0.38302 0.79114 1.05341 0.81723
1.13227 0.40572 0.81558 0.78672 0.60967
1.15362 0.42896 0.83999 1.04859 0.81112
1.1744 0.45272 0.86437 1.04762 0.80911
1.1946 0.47699 0.88872 0.77784 0.5999
1.21421 0.50174 0.91304 1.0545 0.81224
1.23322 0.52697 0.93734 1.0347 0.79607
1.25161 0.55266 0.96163 0.79164 0.60844
1.26937 0.57879 0.98589 1.04122 0.7995
1.2865 0.60535 1.01013 1.04661 0.80297
1.30298 0.63232 1.03436 0.76302 0.58495
