x y yaw v w 
0.00016 8e-05 0.00343 0.0 0.0
0.01026 -0.00013 0.00046 0.33589 -0.09894
0.02589 -0.00036 0.00075 0.51057 0.00939
0.05867 -2e-05 0.00422 0.79768 0.08466
0.0861 0.00043 0.00718 0.9207 0.09926
0.11505 0.00087 0.01293 0.90238 0.17921
0.15753 0.00171 0.02317 1.02975 0.24807
0.18887 0.0027 0.03169 1.04799 0.28487
0.21837 0.00413 0.04104 0.97385 0.30837
0.25858 0.00652 0.0552 1.00149 0.3519
0.29079 0.0087 0.06717 1.07919 0.40039
0.3238 0.01085 0.07914 1.07322 0.38811
0.36381 0.01343 0.09795 0.99737 0.46839
0.39303 0.01539 0.11362 0.97842 0.52385
0.42288 0.01745 0.12998 0.95917 0.52539
0.46408 0.02097 0.15272 0.98015 0.54035
0.49529 0.0244 0.17018 1.04345 0.58124
0.52656 0.02827 0.1879 0.95322 0.53709
0.56756 0.03688 0.21053 1.04274 0.5635
0.59606 0.04418 0.2279 0.96386 0.5691
0.624 0.05199 0.24541 0.91624 0.55324
0.66118 0.06292 0.26837 0.91777 0.54381
0.68916 0.07149 0.28519 0.97366 0.55956
0.71759 0.08035 0.30229 0.9668 0.5555
0.75804 0.09394 0.32677 1.05445 0.60478
0.78835 0.10401 0.3449 1.06498 0.6048
0.81837 0.11332 0.36245 1.03082 0.57655
0.85681 0.1261 0.38645 1.00359 0.59581
0.88382 0.13619 0.40478 0.96189 0.61234
0.90774 0.14567 0.42545 0.85543 0.68808
0.93771 0.15794 0.4545 0.76982 0.69186
0.95884 0.16663 0.47729 0.75622 0.75738
0.98137 0.17724 0.50095 0.81255 0.77352
1.01104 0.19366 0.53243 0.824 0.76501
1.03294 0.20743 0.55615 0.86185 0.79017
1.0544 0.22236 0.57977 0.83386 0.75372
1.08378 0.24364 0.61003 0.90046 0.75141
1.10679 0.26069 0.63291 0.93073 0.74317
1.13174 0.27832 0.65673 1.01881 0.79533
1.16522 0.30261 0.69019 1.02974 0.83453
1.18912 0.32092 0.71635 0.99826 0.86917
1.21264 0.3394 0.74279 0.99004 0.87774
1.24326 0.36501 0.77839 0.98015 0.87694
1.26525 0.38538 0.80473 0.99927 0.87956
1.28722 0.40577 0.83104 0.97856 0.86206
1.31306 0.43673 0.86445 1.01037 0.8371
1.33206 0.46118 0.88964 1.02024 0.83011
1.35055 0.48641 0.91474 1.0355 0.83146
1.37365 0.51981 0.94856 0.98031 0.81647
1.39166 0.5445 0.97351 0.99245 0.81041
1.40878 0.56947 0.99794 1.01063 0.81616
1.43154 0.6023 1.03036 0.97794 0.79524
1.44843 0.62733 1.05542 1.0057 0.8372
1.46485 0.65314 1.08096 1.00253 0.83951
1.48563 0.6882 1.11542 1.01393 0.85999
1.49955 0.71545 1.14086 1.02229 0.85069
1.51176 0.74297 1.16608 0.98553 0.82575
1.52648 0.78088 1.1991 1.00493 0.81584
1.53716 0.81012 1.22369 1.01982 0.80556
1.54816 0.83857 1.24843 0.97964 0.79539
1.563 0.8762 1.28205 0.99891 0.83356
1.57352 0.90495 1.30772 0.99848 0.84042
1.58104 0.93439 1.33337 1.02772 0.86749
1.59099 0.97341 1.36699 1.0017 0.83743
1.59658 1.00303 1.39204 1.00125 0.83168
1.60216 1.03335 1.41706 1.01898 0.8274
1.60783 1.07445 1.44944 1.04661 0.81711
1.61127 1.10531 1.4735 1.03544 0.80242
1.6141 1.13476 1.49812 0.96525 0.80325
1.61737 1.17421 1.53036 0.97584 0.79557
1.6184 1.20371 1.55409 0.98059 0.78831
1.61841 1.23414 1.57816 1.01541 0.80318
1.61765 1.27562 1.6104 1.0267 0.798
1.6175 1.30687 1.63448 1.03275 0.79705
1.61712 1.33773 1.65837 1.02317 0.79425
1.61479 1.37835 1.69025 0.99195 0.77892
1.61065 1.40863 1.71339 1.01918 0.7715
1.60603 1.43864 1.73541 1.01079 0.7332
