x y yaw v w 
0.02 0.00018 0.01758 1.0 0.87879
0.04998 0.00111 0.04461 1.0 0.91242
0.07993 0.00287 0.07299 1.0 0.94606
0.11976 0.00657 0.11218 1.0 1.0
0.14951 0.01037 0.14218 1.0 1.0
0.17914 0.01507 0.17218 1.0 1.0
0.2184 0.02271 0.21218 1.0 1.0
0.24763 0.02946 0.24218 1.0 1.0
0.27664 0.03709 0.27218 1.0 1.0
0.31495 0.04861 0.31218 1.0 1.0
0.34335 0.05826 0.34218 1.0 1.0
0.37146 0.06874 0.37218 1.0 1.0
0.40842 0.08403 0.41218 1.0 1.0
0.43572 0.09646 0.44218 1.0 1.0
0.46264 0.1097 0.47218 1.0 1.0
0.49789 0.1286 0.51218 1.0 1.0
0.52382 0.1437 0.54218 1.0 1.0
0.54928 0.15956 0.57218 1.0 1.0
0.58246 0.18188 0.61218 1.0 1.0
0.60675 0.19949 0.64218 1.0 1.0
0.6305 0.21782 0.67218 1.0 1.0
0.6613 0.24334 0.71218 1.0 1.0
0.68371 0.26328 0.74218 1.0 1.0
0.70551 0.28389 0.77218 1.0 1.0
0.73344 0.31219 0.81218 0.98822 1.0
0.753 0.33346 0.84218 0.95081 1.0
0.77143 0.35474 0.87218 0.91339 1.0
0.7939 0.38259 0.91218 0.87598 1.0
0.80922 0.40301 0.94218 0.83856 1.0
0.82306 0.42266 0.97218 0.80115 1.0
0.83949 0.44782 1.01218 0.7811 1.0
0.85161 0.46787 1.04218 0.81095 1.0
0.86357 0.48906 1.07218 0.84079 1.0
0.87932 0.51944 1.11218 0.87064 1.0
0.89079 0.54357 1.14218 0.90048 1.0
0.90176 0.56858 1.17218 0.93032 1.0
0.91573 0.60372 1.21218 0.96017 1.0
0.92574 0.63168 1.24218 1.0 1.0
0.93499 0.66021 1.27218 1.0 1.0
0.94599 0.69867 1.31218 1.0 1.0
0.95323 0.72778 1.34218 1.0 1.0
0.95959 0.7571 1.37218 1.0 1.0
0.96669 0.79646 1.41218 1.0 1.0
0.97099 0.82615 1.44218 1.0 1.0
0.97439 0.85596 1.47218 1.0 1.0
0.97753 0.89583 1.51218 1.0 1.0
0.97884 0.9258 1.54218 1.0 1.0
0.97924 0.9558 1.57218 1.0 1.0
0.97839 0.99578 1.61218 1.0 1.0
0.9767 1.02574 1.64218 1.0 1.0
0.97411 1.05562 1.67218 1.0 1.0
0.96927 1.09533 1.71218 1.0 1.0
0.9646 1.12496 1.74218 1.0 1.0
0.95904 1.15444 1.77218 1.0 1.0
0.95025 1.19346 1.81218 1.0 1.0
0.94265 1.22248 1.84218 1.0 1.0
0.93417 1.25125 1.87218 1.0 1.0
0.92154 1.2892 1.91218 1.0 1.0
0.91107 1.31732 1.94218 1.0 1.0
0.89977 1.3451 1.97218 1.0 1.0
0.88341 1.3816 2.01218 1.0 1.0
0.87019 1.40853 2.04218 1.0 1.0
0.85616 1.43505 2.07218 1.0 1.0
0.83624 1.46973 2.11218 1.0 1.0
0.8204 1.49521 2.14218 1.0 1.0
0.8038 1.5202 2.17218 1.0 1.0
0.78051 1.55272 2.21218 1.0 1.0
0.76221 1.57648 2.24218 1.0 1.0
0.74319 1.59969 2.27218 1.0 1.0
0.71678 1.62972 2.31218 1.0 1.0
0.69619 1.65154 2.34218 1.0 1.0
0.67496 1.67273 2.3716 1.0 0.94178
0.64576 1.70007 2.40649 1.0 0.87229
0.62326 1.71991 2.43127 1.0 0.80279
0.6003 1.73922 2.45327 1.0 0.7333
0.56908 1.76423 2.47843 1.0 0.59431
0.54529 1.78249 2.49487 1.0 0.52482
0.5212 1.80038 2.51062 1.0 0.45532
0.4887 1.8237 2.52744 1.0 0.38583
0.46409 1.84085 2.53762 1.0 0.31633
0.43983 1.85746 2.54503 0.98012 0.24684
0.40842 1.87863 2.55212 0.94682 0.17734
0.38562 1.89383 2.55536 0.91351 0.10785
0.36361 1.90842 2.55651 0.88021 0.03835
0.33594 1.92679 2.55387 0.81361 -0.10064
0.31621 1.93999 2.54946 0.78031 -0.17013
0.29682 1.95311 2.54436 0.74701 -0.23962
0.27275 1.96966 2.53338 0.7137 -0.30912
0.25578 1.9816 2.52272 0.6804 -0.37861
0.23958 1.99328 2.51044 0.636 -0.47127
0.21876 2.0088 2.49156 0.6626 -0.47266
0.20239 2.02143 2.47734 0.6892 -0.47404
0.18558 2.03479 2.46307 0.71579 -0.47542
0.16264 2.05365 2.444 0.76899 -0.47819
0.14507 2.06859 2.42966 0.79558 -0.47958
0.12711 2.08431 2.41527 0.82218 -0.48096
0.10234 2.10675 2.396 0.84878 -0.48234
0.08337 2.12452 2.3815 0.87538 -0.48373
0.06428 2.14294 2.36698 0.90197 -0.48511
0.03837 2.1688 2.34755 0.92857 -0.4865
0.01862 2.18919 2.33292 0.95517 -0.48788
-0.00156 2.21065 2.31825 0.98176 -0.48926
-0.02846 2.24025 2.29862 1.0 -0.49203
-0.04825 2.26279 2.28386 1.0 -0.49341
-0.06771 2.28563 2.26906 1.0 -0.4948
-0.09312 2.31652 2.24924 1.0 -0.49618
-0.11177 2.34002 2.23432 1.0 -0.49757
-0.13007 2.36379 2.21938 1.0 -0.49895
-0.15392 2.3959 2.1994 1.0 -0.50033
-0.17137 2.4203 2.18435 1.0 -0.50172
-0.18846 2.44496 2.16925 1.0 -0.5031
-0.21066 2.47823 2.14907 1.0 -0.50587
-0.22687 2.50348 2.1339 1.0 -0.50725
-0.24269 2.52897 2.11867 1.0 -0.50864
-0.26317 2.56332 2.09829 1.0 -0.51002
-0.27807 2.58936 2.08296 1.0 -0.51141
-0.29258 2.61562 2.06758 1.0 -0.51279
-0.31128 2.65098 2.04704 1.0 -0.51417
-0.32482 2.67775 2.03159 1.0 -0.51556
-0.33795 2.70472 2.01607 1.0 -0.5174
-0.35477 2.74101 1.9927 1.0 -0.60636
-0.36679 2.7685 1.97362 1.0 -0.65084
-0.37829 2.79621 1.9541 1.0 -0.69531
-0.39272 2.83351 1.92539 1.0 -0.73979
-0.40281 2.86176 1.90231 1.0 -0.78427
-0.41222 2.89025 1.87745 1.0 -0.82875
-0.42363 2.92859 1.84252 1.0 -0.87323
-0.43129 2.95759 1.81543 1.0 -0.9177
-0.43814 2.9868 1.78657 1.0 -0.96218
-0.44592 3.02603 1.74657 1.0 -1.0
-0.45072 3.05564 1.71657 1.0 -1.0
-0.45463 3.08538 1.68657 1.0 -1.0
-0.45846 3.1252 1.64657 1.0 -1.0
-0.46028 3.15514 1.61657 1.0 -1.0
-0.4612 3.18513 1.58657 1.0 -1.0
-0.46103 3.22512 1.54657 1.0 -1.0
-0.45986 3.2551 1.51657 1.0 -1.0
-0.45778 3.28503 1.48657 1.0 -1.0
-0.45362 3.32481 1.44657 1.0 -1.0
-0.44946 3.35452 1.41657 1.0 -1.0
-0.44441 3.38409 1.38657 1.0 -1.0
-0.43629 3.42325 1.34657 1.0 -1.0
-0.42919 3.4524 1.31657 1.0 -1.0
-0.42121 3.48131 1.28657 1.0 -1.0
-0.40922 3.51948 1.24657 1.0 -1.0
-0.39924 3.54776 1.21657 1.0 -1.0
-0.38842 3.57574 1.18657 1.0 -1.0
-0.37268 3.61252 1.14657 1.0 -1.0
