x y yaw v w 
0.00016 9e-05 0.00357 0.0 0.0
0.00692 5e-05 4e-05 0.21829 -0.11415
0.02059 -0.00023 -0.00366 0.45172 -0.12207
0.04933 -0.00062 -0.00194 0.71984 0.04299
0.07812 -0.00038 0.00255 0.94295 0.14707
0.10761 0.00018 0.00933 0.95346 0.21923
0.14726 0.00126 0.02064 0.96093 0.27398
0.17545 0.00268 0.03104 0.93376 0.34415
0.20381 0.00414 0.04225 0.9522 0.37595
0.24387 0.00618 0.05982 0.99822 0.43716
0.27581 0.00797 0.07387 1.05788 0.46488
0.30839 0.01044 0.08801 1.09033 0.47173
0.35167 0.01415 0.10648 1.07788 0.45851
0.38434 0.01694 0.12034 1.079 0.45624
0.41665 0.0202 0.13403 1.03914 0.43846
0.45724 0.02525 0.1551 1.01965 0.52543
0.48625 0.02931 0.17253 0.97986 0.58316
0.51487 0.03359 0.1905 0.96543 0.6004
0.55295 0.03966 0.21467 0.95892 0.60177
0.58218 0.04547 0.23367 0.9789 0.62477
0.61241 0.05304 0.25316 0.97989 0.61264
0.65276 0.0649 0.27885 1.0336 0.63154
0.68266 0.07488 0.29776 1.04709 0.62821
0.71145 0.08515 0.31728 0.89253 0.57026
0.74913 0.09905 0.34424 0.97466 0.6542
0.77706 0.1101 0.36517 0.97231 0.67776
0.80554 0.12001 0.3858 1.00181 0.68625
0.84068 0.13351 0.41429 0.9112 0.69032
0.86512 0.14402 0.43584 0.83982 0.68056
0.88947 0.15417 0.45762 0.87397 0.72309
0.92137 0.16711 0.48606 0.84167 0.69886
0.94199 0.178 0.50757 0.77859 0.7184
0.96213 0.18989 0.52906 0.77545 0.71237
0.99106 0.20748 0.55858 0.84111 0.73362
1.01385 0.22116 0.58083 0.89096 0.74637
1.03629 0.23661 0.60341 0.8229 0.68175
1.06608 0.25906 0.63422 0.9038 0.74665
1.08879 0.27676 0.65763 0.95229 0.7743
1.11166 0.29448 0.68057 0.96781 0.7673
1.14311 0.31895 0.71019 0.94311 0.70199
1.16607 0.33827 0.7326 0.95669 0.71506
1.1892 0.35812 0.75523 1.01502 0.75436
1.22019 0.38653 0.78516 1.04694 0.74588
1.24249 0.40817 0.80685 1.03605 0.72376
1.26247 0.43031 0.82849 0.99246 0.72032
1.28813 0.46051 0.85756 0.95043 0.69717
1.30759 0.48321 0.87951 1.00956 0.74121
1.32657 0.50608 0.90082 0.98066 0.70306
1.35151 0.53665 0.92884 0.88466 0.62911
1.37086 0.56027 0.95003 1.02916 0.71547
1.38961 0.58455 0.97103 1.02065 0.70003
1.41296 0.61834 0.999 0.9701 0.6609
1.42824 0.6436 1.02041 0.99065 0.71842
1.44313 0.67019 1.04282 0.97465 0.71682
1.46299 0.70649 1.07327 0.99343 0.73122
1.4788 0.73358 1.09561 1.0187 0.72654
1.49297 0.76047 1.1183 0.98494 0.73578
1.51095 0.79618 1.14866 0.98236 0.74665
1.52316 0.82302 1.17101 0.97813 0.74171
1.53457 0.85017 1.19302 0.90589 0.67715
1.54966 0.88874 1.22212 1.03545 0.7277
1.5608 0.91789 1.24365 1.00422 0.69333
1.57244 0.94676 1.26495 0.9988 0.68572
1.58406 0.98505 1.29291 1.00324 0.70104
1.59129 1.01371 1.31421 0.98161 0.7072
1.59821 1.04309 1.33596 1.00806 0.72654
