x y yaw v w 
0.0 0.0 0.0 0.0 0.0
0.02932 7e-05 0.00463 0.96353 0.15227
0.06352 0.00035 0.01215 1.15608 0.25391
0.09727 0.00093 0.02179 0.82594 0.23609
0.13092 0.00186 0.03337 1.1222 0.38602
0.1644 0.0032 0.04663 1.10761 0.43845
0.19771 0.005 0.06131 0.82787 0.36411
0.23085 0.00729 0.07716 1.11464 0.53206
0.26381 0.01012 0.09402 1.09256 0.5569
0.29659 0.01351 0.11174 0.79793 0.42896
0.3292 0.01747 0.13018 1.08774 0.61078
0.36159 0.02203 0.14926 1.09802 0.64027
0.39378 0.02719 0.16889 0.78311 0.47158
0.42576 0.03297 0.18901 1.06432 0.65894
0.45752 0.03939 0.20956 1.07346 0.68078
0.48906 0.04644 0.23049 0.77848 0.50417
0.52037 0.05414 0.25176 1.07544 0.70942
0.55144 0.06249 0.27332 1.04372 0.69972
0.58226 0.0715 0.29516 0.8018 0.54527
0.61283 0.08116 0.31723 1.03915 0.71556
0.64314 0.09149 0.33952 1.05936 0.73744
0.67317 0.10247 0.362 0.78391 0.55098
0.70292 0.11413 0.38464 1.00429 0.71193
0.73237 0.12644 0.40744 1.071 0.76501
0.7615 0.13941 0.43037 0.75435 0.54249
0.78996 0.15288 0.45343 1.04959 0.76862
0.81702 0.16645 0.47661 1.01146 0.7745
0.84284 0.18017 0.49995 0.7296 0.58244
0.8674 0.19396 0.52346 0.93669 0.78211
0.8907 0.20778 0.54718 0.87333 0.76472
0.91273 0.22156 0.57111 0.63446 0.58429
0.93321 0.23508 0.59529 0.81817 0.80621
0.95484 0.25011 0.61957 0.8554 0.78869
0.97672 0.26612 0.64397 0.67878 0.61072
0.99886 0.28317 0.66844 0.93485 0.81883
1.02122 0.30128 0.69297 0.95092 0.81069
1.04378 0.32048 0.71751 0.74063 0.61365
1.06649 0.3408 0.74204 1.02067 0.82156
1.08932 0.36225 0.76653 1.03816 0.81187
1.11179 0.38442 0.79099 0.7893 0.61146
1.1337 0.40713 0.8154 1.05028 0.81288
1.15505 0.43037 0.83979 1.03335 0.79841
1.17585 0.45413 0.86415 0.74678 0.57617
1.19606 0.47839 0.88848 0.96486 0.74345
1.21567 0.50315 0.91278 1.00579 0.77407
1.23469 0.52838 0.93707 0.79274 0.60945
1.25309 0.55406 0.96134 1.05416 0.80964
1.27086 0.58019 0.98559 0.99453 0.76318
1.288 0.60675 1.00982 0.77426 0.59369
1.30449 0.63372 1.03404 1.00742 0.77192
1.32033 0.66108 1.05825 1.04465 0.79994
1.3355 0.68882 1.08244 0.79537 0.60871
1.35 0.71692 1.10663 1.02587 0.78471
1.36381 0.74537 1.1308 1.01865 0.77881
1.37694 0.77414 1.15497 0.78845 0.60257
1.38936 0.80323 1.17913 1.03358 0.7896
1.40108 0.83261 1.20329 0.99846 0.76251
1.41209 0.86226 1.22743 0.79171 0.60444
1.42238 0.89217 1.25157 1.01439 0.77423
1.43194 0.92233 1.27571 1.05647 0.80614
1.44078 0.9527 1.29984 0.78003 0.59507
1.44888 0.98329 1.32397 1.05681 0.80605
1.45624 1.01406 1.3481 1.05014 0.80082
1.46285 1.045 1.37222 0.78731 0.60029
1.46872 1.07609 1.39634 1.05376 0.80333
1.47383 1.10731 1.42045 1.05054 0.80077
1.4782 1.13865 1.44457 0.78064 0.59497
1.4818 1.17008 1.46868 1.03284 0.7871
1.48465 1.2016 1.49279 1.04305 0.7948
1.48673 1.23317 1.51689 0.77834 0.59304
1.48806 1.26479 1.541 1.05638 0.80483
1.48862 1.29643 1.56511 1.03406 0.78777
1.48842 1.32769 1.58906 0.78845 0.60404
1.48749 1.35857 1.61279 1.03333 0.79397
1.48584 1.38923 1.6362 0.96306 0.7344
1.48348 1.41985 1.65913 0.73905 0.55183
1.48043 1.45048 1.68144 1.01287 0.7339
1.47669 1.48111 1.70276 0.99736 0.68933
1.4723 1.51179 1.72297 0.73863 0.48163
1.46729 1.54253 1.74194 1.03102 0.62786
1.46168 1.57334 1.75955 1.03425 0.58151
1.45565 1.60361 1.77564 0.7412 0.38638
1.44932 1.63301 1.79003 0.99644 0.47713
1.44277 1.66156 1.80258 0.93692 0.40128
1.43608 1.68927 1.81314 0.71376 0.2646
1.42932 1.71612 1.82165 0.90143 0.27679
1.42283 1.74112 1.82763 0.83381 0.19326
1.41648 1.76514 1.83112 0.60735 0.08518
1.41032 1.7882 1.83217 0.74525 0.03293
1.40443 1.81027 1.83088 0.75536 -0.04283
1.39893 1.8311 1.82717 0.49856 -0.08586
1.39338 1.85253 1.82161 0.73376 -0.18439
1.38777 1.87475 1.81466 0.77304 -0.23437
1.38213 1.89781 1.80666 0.57706 -0.1945
1.3765 1.92167 1.79786 0.81851 -0.29379
1.37073 1.94721 1.78844 0.83438 -0.30015
1.36502 1.97367 1.77855 0.66059 -0.24131
1.3594 2.00101 1.76829 0.92542 -0.34009
1.35391 2.02923 1.75773 0.95485 -0.35063
1.34857 2.05833 1.74693 0.74063 -0.27037
1.34339 2.08834 1.73593 1.01207 -0.36563
1.33842 2.11926 1.72477 1.01688 -0.36247
1.33366 2.15109 1.71348 0.79683 -0.27964
1.32919 2.18357 1.70208 1.0912 -0.37937
1.32508 2.2161 1.6906 1.0717 -0.37509
1.32135 2.24867 1.67905 0.82283 -0.28988
1.318 2.28128 1.66743 1.08697 -0.38525
1.31503 2.31391 1.65576 1.07774 -0.38412
1.31244 2.34657 1.64402 0.80499 -0.2884
1.31023 2.37925 1.63223 1.09322 -0.39358
1.30842 2.41195 1.62038 1.07371 -0.38833
1.30699 2.44466 1.60849 0.79594 -0.28912
1.30595 2.47738 1.59655 1.06862 -0.38977
1.3053 2.51011 1.58456 1.05668 -0.38704
1.30505 2.54284 1.57252 0.80868 -0.29741
1.30519 2.57557 1.56044 1.0934 -0.4037
1.30573 2.60828 1.54831 1.05321 -0.39032
1.30666 2.64098 1.53614 0.82143 -0.30553
1.308 2.67367 1.52394 1.06523 -0.39759
1.30973 2.70633 1.51169 1.05591 -0.39544
1.31186 2.73897 1.4994 0.79698 -0.29948
1.3144 2.77165 1.48694 1.10094 -0.4184
1.31737 2.80447 1.47408 1.05214 -0.41049
1.32078 2.83729 1.46078 0.80752 -0.32568
1.32463 2.87009 1.44697 1.07574 -0.44958
1.32895 2.90288 1.43264 1.0921 -0.47347
1.33375 2.93563 1.41775 0.82312 -0.37022
1.33907 2.96839 1.40226 1.09691 -0.51194
1.34489 3.00101 1.38608 1.07659 -0.52551
1.35124 3.03344 1.36913 0.81339 -0.41741
1.35812 3.06566 1.35133 1.06376 -0.57475
1.36557 3.09764 1.33281 0.97012 -0.54713
1.37358 3.12935 1.31367 0.81811 -0.47883
1.38218 3.16078 1.29398 1.08458 -0.65521
1.39137 3.19194 1.27381 1.08744 -0.67512
1.40117 3.22282 1.25322 0.78592 -0.49962
1.41158 3.2534 1.23225 1.03362 -0.67082
1.42261 3.28369 1.21095 1.07303 -0.70914
1.43426 3.31367 1.18936 0.78346 -0.5261
1.44653 3.34334 1.16749 1.07148 -0.72972
1.45944 3.37268 1.14539 1.06394 -0.73354
1.47297 3.40169 1.12309 0.78125 -0.54444
1.48714 3.43036 1.10059 1.06751 -0.75104
1.50194 3.45867 1.07793 1.06634 -0.75657
1.51736 3.48661 1.05511 0.77769 -0.55593
1.5334 3.51417 1.03217 1.05552 -0.7596
1.55006 3.54133 1.0091 0.99569 -0.72083
1.56733 3.56808 0.98593 0.78378 -0.57046
1.58521 3.59441 0.96266 1.05812 -0.77381
1.60368 3.6203 0.9393 1.01123 -0.74269
1.62275 3.64574 0.91586 0.79312 -0.58474
1.6424 3.67071 0.89236 0.98317 -0.72736
1.66262 3.6952 0.86879 1.02369 -0.75969
1.68341 3.7192 0.84516 0.78924 -0.58733
1.70475 3.74269 0.82148 1.06518 -0.79467
1.72664 3.76567 0.79776 1.02228 -0.76438
1.74906 3.78811 0.77399 0.7896 -0.5916
1.772 3.81001 0.75019 1.01386 -0.76101
1.79545 3.83134 0.72635 1.01544 -0.76345
1.8194 3.85211 0.70249 0.76061 -0.57268
1.84384 3.8723 0.67859 1.03728 -0.78198
